0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
29,29,OCC(O)C(O)C(O)C(O)COP(O)(O)=O.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O.NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H],,,2.0,5.232107400644567,0.4761904761904761,20.0,12.0,,,842.0596239840901,5.0,,,442.54999999999995,-4.691239999999995,,,4.0,3.76039597115306,1.5238095238095237,25.0,14.0,,,926.1623155259999,6.0,,,474.53,-6.485729999999997
31,31,c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.OCC(O)C(O)C(O)C(O)COP(O)(O)=O>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,,,2.0,5.232107400644567,0.4761904761904761,20.0,12.0,,,842.0596239840901,5.0,,,442.54999999999995,-4.691239999999995,,,4.0,3.76039597115306,1.5238095238095237,25.0,14.0,,,926.1623155259999,6.0,,,474.53,-6.485729999999997
32,32,OP(O)(=O)OP(O)(O)=O.C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O>>OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O).OP(O)(O)=O,,,2.0,5.185527561285749,2.0,14.0,12.0,,,519.075421664,2.0,,,319.61,-6.240799999999999,,,1.0,6.146095128674801,1.0,9.0,10.0,,,437.9729443539999,1.0,,,281.2,-3.9143999999999997
33,33,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O)).NC(=O)CCC(N)C(O)=O>>NC1C(O)OC(COP(O)(O)=O)C(O)C1(O).NC(CCC(O)=O)C(O)=O,,,1.0,2.047085489928952,0.5555555555555556,14.0,8.0,,,500.0110611779998,2.0,,,305.42,-1.530720000000001,,,0.0,6.981459320781627,1.2,6.0,6.0,,,293.122299948,0.0,,,207.03,-2.0731
34,34,[H]O[H].NC1C(O)OC(COP(O)(O)=O)C(O)C1(O)>>[H]N([H])[H].OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O)),,,0.0,3.4907296603908136,0.6,3.0,3.0,,,165.063722452,0.0,,,132.12,-1.5616,,,3.0,4.196001564920231,1.5555555555555556,25.0,16.0,,,905.0670541279997,4.0,,,506.48,-6.971319999999993
35,35,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O)).OCC3OC(OP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))N2C=CC(=O)NC2(=O))C(O)C(O)C3(O)>>O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O).OCC2OC(OC1(CO)(OC(COP(O)(O)=O)C(O)C1(O)))C(O)C(O)C2(O),,,1.0,5.787438007673421,1.0555555555555556,16.0,9.0,,,622.9719719719998,2.0,,,354.25,-2.050520000000001,,,3.0,4.224565853244638,1.7333333333333334,23.0,15.0,,,826.0847391939999,4.0,,,453.9,-6.0967199999999995
36,36,OP(O)(O)=O.OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))>>[H]O[H].[H]C(=O)C(O)C(O)COP(O)(O)=O.CC(=O)OP(O)(O)=O,,,1.0,5.519151985529071,0.5555555555555556,14.0,10.0,,,580.9614072879998,2.0,,,348.18,-2.6213200000000008,,,1.0,6.746895143118186,1.8,12.0,10.0,,,428.09310673000004,1.0,,,286.4,-6.6656
37,37,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1OC(O)(CO)C(O)C1(O)>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,,,1.0,6.09083724314797,1.3571428571428572,22.0,14.0,,,797.0360287719998,3.0,,,464.11,-6.3373300000000015,,,2.0,4.36185298880297,1.5,19.0,12.0,,,687.0591335659999,4.0,,,389.51,-5.657830000000001
38,38,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1OC(O)(CO)C(O)C1(O)>>O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O)),,,1.0,6.159666355407787,1.3571428571428572,19.0,13.0,,,718.0537138379998,3.0,,,411.53,-5.46273,,,2.0,3.6835973072651775,1.0555555555555556,26.0,13.0,,,973.9853429239995,5.0,,,529.3199999999999,-3.1015500000000014
39,39,Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1)).OCC1OC(O)(CO)C(O)C1(O)>>OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O)).Nc3ncnc2c3(ncn2(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1)),,,1.0,6.088180959548664,1.3571428571428572,19.0,12.0,,,701.0747836299998,3.0,,,397.35,-5.425129999999999,,,3.0,3.2564064989160855,1.0317460317460316,31.0,16.0,,,1227.0672408600894,7.0,,,635.2099999999999,-5.455359999999997
