SabioReactionID,Reaction,ECNumber,MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R,MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
19,OCC1OC(O)C(O)C(O)C1(O).c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>OCC1OC(=O)C(O)C(O)C1(O).[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1.1.1.370,844.17978636009,-6.237299999999998,428.63999999999993,6.0,3.0,56.0,3.0,1.476190476190476,3.7920370777851256,12.0,13.0,23.0,843.1725099079998,-5.699599999999998,424.84,6.0,4.0,56.0,4.0,1.3571428571428572,3.8473509228338902,12.0,12.0,24.0
20,C[S+](CCC(N)C(O)=O)CC1OC(C(O)C1(O))n3cnc2c(N)ncnc23.[*]C5CC(O)C(COP(O)(=O)OC2CC(OC2(COP(O)(=O)OC1CC([*])OC1(CO)))n4cnc3c(N)ncnc34)O5>>NC(CCSCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23)C(O)=O.[*]C5CC(OP(O)(=O)OCC4OC([*])CC4(OP(O)(=O)OCC1OC(CC1(O))n3cnc2c(NC)ncnc23))C(CO)O5,2.1.1.72,1008.26822450409,-2.539999999999996,431.92,8.0,4.0,67.0,4.0,1.35,2.966723951921425,19.0,10.0,26.0,1007.260948052,-1.5953999999999993,417.93,8.0,4.0,67.0,4.0,1.3333333333333333,2.772411649862753,20.0,10.0,27.0
21,OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O).[H]O[H]>>OP(O)(O)=O.C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,3.1.3.11,358.00661383199986,-3.8105,234.94,1.0,1.0,21.0,1.0,1.0,2.6740286330746827,6.0,7.0,8.0,358.006613832,-4.0314,234.67,1.0,1.0,21.0,1.0,1.0,6.085267677598554,4.0,9.0,8.0
22,O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O).OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))>>O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O).OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O),2.7.1.11,743.9982462959999,-5.603700000000001,421.28,3.0,2.0,45.0,2.0,1.5555555555555556,4.669244734871136,12.0,13.0,19.0,743.9982462959997,-5.6037,421.28,3.0,2.0,45.0,2.0,1.5555555555555556,4.768207188231865,12.0,13.0,18.0
23,NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O).OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))>>NC=1C=CN(C(=O)N=1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O).OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O),2.7.1.11,743.0142307079998,-5.3148,427.33,3.0,2.0,45.0,2.0,1.5555555555555556,4.660286671927388,12.0,13.0,20.0,743.0142307079998,-5.3148,427.33,3.0,2.0,45.0,2.0,1.5555555555555556,4.755840354075387,12.0,13.0,19.0
24,O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O))>>O=C3NC=Nc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O),2.7.1.11,768.0094796759998,-5.020700000000001,429.9899999999999,4.0,2.0,47.0,2.0,1.5,4.309498598545877,12.0,13.0,20.0,768.0094796759997,-5.020700000000001,429.99,4.0,2.0,47.0,2.0,1.5,4.432267145535224,12.0,13.0,19.0
27,[H]O[H].OCC1(OC(COP(O)(O)=O)C(O)C1(O))(OP(O)(O)=O)>>OP(O)(O)=O.C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O,3.1.3.46,358.0066138319999,-3.8105000000000007,234.94,1.0,1.0,21.0,1.0,1.0,2.854366315233849,6.0,7.0,8.0,358.006613832,-4.0314,234.67,1.0,1.0,21.0,1.0,1.0,6.085267677598554,4.0,9.0,8.0
32,OP(O)(=O)OP(O)(O)=O.C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O>>OC1C(COP(O)(O)=O)OC(O)(COP(O)(O)=O)C1(O).OP(O)(O)=O,2.7.1.90,437.9729443540001,-3.9144,281.20000000000005,1.0,1.0,25.0,1.0,1.0,6.687680491919474,6.0,10.0,10.0,437.9729443539999,-3.9144,281.2,1.0,1.0,25.0,1.0,1.0,6.146095128674801,6.0,10.0,9.0
33,OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O)).NC(=O)CCC(N)C(O)=O>>NC1C(O)OC(COP(O)(O)=O)C(O)C1(O).NC(CCC(O)=O)C(O)=O,2.6.1.16,406.09886080600006,-4.439,263.32,1.0,1.0,26.0,1.0,1.6,6.10393084238925,8.0,9.0,10.0,406.09886080600006,-3.8748999999999993,263.32,1.0,1.0,26.0,1.0,1.6,6.063056039678127,7.0,9.0,10.0
34,[H]O[H].NC1C(O)OC(COP(O)(O)=O)C(O)C1(O)>>[H]N([H])[H].OCC1(O)(OC(COP(O)(O)=O)C(O)C1(O)),3.5.99.6,277.05626772200003,-3.9627,194.2,1.0,1.0,17.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0,277.05626772200003,-2.9408,191.91,1.0,1.0,17.0,1.0,1.0,2.613201181998436,4.0,7.0,8.0
