Reaction,ECNumber,MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R,MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
OO.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.[H]O[H],1,1.007825032,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.1163982560901,-3.0158999999999976,318.25999999999993,5.0,2.0,44.0,2.0,0.4761904761904761,1.1576280907235286,11.0,8.0,17.0
OO.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.[H]O[H],1,1.007825032,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.1163982560901,-3.0158999999999976,318.25999999999993,5.0,2.0,44.0,2.0,0.4761904761904761,1.1576280907235286,11.0,8.0,17.0
OO>>[H]O[H].O=O,1,34.005479304,0.0173999999999999,40.46,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,18.010564684,-0.8247,31.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OO>>[H]O[H].O=O,1,34.005479304,0.0173999999999999,40.46,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,18.010564684,-0.8247,31.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OO>>[H]O[H].O=O,1,34.005479304,0.0173999999999999,40.46,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,18.010564684,-0.8247,31.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OO>>[H]O[H].O=O,1,34.005479304,0.0173999999999999,40.46,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,18.010564684,-0.8247,31.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OC1CC(O)C(COP(O)(O)=O)O1.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))>>OCC1OC(O)CC1(O).Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)),0,427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0,134.0579088,-1.5531000000000004,69.92,1.0,1.0,9.0,1.0,1.0,2.37943510925372,1.0,3.0,4.0
NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O.OO>>NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O.[H]O[H],1,34.005479304,0.0173999999999999,40.46,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,612.151962464,-3.8768,317.64,0.0,0.0,40.0,0.0,0.6,5.179728699200385,21.0,10.0,12.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).Cc2cc3N=C1C(=O)NC(=O)N=C1N(CC(O)C(O)C(O)COP(O)(O)=O)c3(cc2(C))>>Cc5cc6N=C1C(=O)NC(=O)N=C1N(CC(O)C(O)C(O)COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)c6(cc5(C)).OP(O)(=O)OP(O)(O)=O,0,456.1046148819999,-1.6065599999999995,208.09,3.0,2.0,31.0,2.0,0.4117647058823529,2.0649227620246755,7.0,6.0,10.0,785.1571346159997,-2.423959999999997,362.9299999999999,6.0,3.0,53.0,3.0,0.4444444444444444,1.0705047998824462,13.0,9.0,21.0
CC(O)C(N)C(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).[*]C3OC(COP(O)(=O)OC2C(O)C([*])OC2(COP(O)(=O)OC1C(O)C([*])OC1(CO)))C(O)C3(O)>>OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)).[*]C3OC(CO)C(OP(O)(=O)OCC2OC([*])C(O)C2(OP(O)(=O)OCC1OC([*])C(O)C1(OC(=O)C(N)C(C)O)))C3(O),0,506.9957454619998,-1.629000000000001,279.13,3.0,1.0,31.0,1.0,0.5,1.6894094002007245,8.0,7.0,14.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)CO>>OCC(O)C=O.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1,92.047344116,-1.6681,60.69,0.0,0.0,6.0,0.0,1.0,2.7541847860376616,2.0,3.0,3.0,90.031694052,-1.4615,57.53,0.0,0.0,6.0,0.0,0.6666666666666666,2.964900494759057,2.0,2.0,3.0
NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)CO>>OCC(O)C=O.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1,92.047344116,-1.6681,60.69,0.0,0.0,6.0,0.0,1.0,2.7541847860376616,2.0,3.0,3.0,90.031694052,-1.4615,57.53,0.0,0.0,6.0,0.0,0.6666666666666666,2.964900494759057,2.0,2.0,3.0
NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)CO>>OCC(O)C=O.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1,92.047344116,-1.6681,60.69,0.0,0.0,6.0,0.0,1.0,2.7541847860376616,2.0,3.0,3.0,90.031694052,-1.4615,57.53,0.0,0.0,6.0,0.0,0.6666666666666666,2.964900494759057,2.0,2.0,3.0
NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)CO>>OCC(O)C=O.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1,92.047344116,-1.6681,60.69,0.0,0.0,6.0,0.0,1.0,2.7541847860376616,2.0,3.0,3.0,90.031694052,-1.4615,57.53,0.0,0.0,6.0,0.0,0.6666666666666666,2.964900494759057,2.0,2.0,3.0
NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)CO>>OCC(O)C=O.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1,92.047344116,-1.6681,60.69,0.0,0.0,6.0,0.0,1.0,2.7541847860376616,2.0,3.0,3.0,90.031694052,-1.4615,57.53,0.0,0.0,6.0,0.0,0.6666666666666666,2.964900494759057,2.0,2.0,3.0
NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)CO>>OCC(O)C=O.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1,92.047344116,-1.6681,60.69,0.0,0.0,6.0,0.0,1.0,2.7541847860376616,2.0,3.0,3.0,90.031694052,-1.4615,57.53,0.0,0.0,6.0,0.0,0.6666666666666666,2.964900494759057,2.0,2.0,3.0
NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OCC(O)CO>>OCC(O)C=O.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O),1,92.047344116,-1.6681,60.69,0.0,0.0,6.0,0.0,1.0,2.7541847860376616,2.0,3.0,3.0,90.031694052,-1.4615,57.53,0.0,0.0,6.0,0.0,0.6666666666666666,2.964900494759057,2.0,2.0,3.0
[H]O[H].NCCOP(O)(=O)OCC(O)CO>>OCC(O)COP(O)(O)=O.NCCO,0,215.055873798,-1.5681,122.24000000000002,0.0,0.0,13.0,0.0,1.0,3.683526779747662,7.0,4.0,6.0,172.013674638,-1.5511,107.22,0.0,0.0,10.0,0.0,1.0,3.455281040689958,4.0,4.0,4.0
[H]O[H].NCCOP(O)(=O)OCC(O)CO>>OCC(O)COP(O)(O)=O.NCCO,0,215.055873798,-1.5681,122.24000000000002,0.0,0.0,13.0,0.0,1.0,3.683526779747662,7.0,4.0,6.0,172.013674638,-1.5511,107.22,0.0,0.0,10.0,0.0,1.0,3.455281040689958,4.0,4.0,4.0
NC(=O)OP(O)(O)=O.NC(CC(O)=O)C(O)=O>>OP(O)(O)=O.NC(=O)NC(CC(O)=O)C(O)=O,0,133.037507704,-1.127,100.62,0.0,0.0,9.0,0.0,0.5,3.632432151939845,3.0,3.0,3.0,97.976895206,-0.9286,77.75999999999999,0.0,0.0,5.0,0.0,0.0,3.472066495600119,0.0,3.0,1.0
[H]O[H].OC(=O)C1CC(=O)NC(=O)N1>>NC(=O)NC(CC(O)=O)C(O)=O,0,158.032756672,-1.3309000000000002,95.5,1.0,1.0,11.0,1.0,0.4,2.634414744554307,1.0,3.0,3.0,176.043321356,-1.4173999999999998,129.72000000000003,0.0,0.0,12.0,0.0,0.4,4.135982327213132,4.0,4.0,3.0
O=C1C=C(C(O)=O)N(C(=O)N1)C2OC(COP(O)(O)=O)C(O)C2(O).OP(O)(=O)OP(O)(O)=O>>OC1C(O)C(OC1(COP(O)(O)=O))OP(O)(=O)OP(O)(O)=O.OC(=O)C1=CC(=O)NC(=O)N1,0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0,389.95181498599993,-2.2313000000000005,229.74,1.0,1.0,22.0,1.0,1.0,2.678959793026737,7.0,7.0,9.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(CC(O)=O)C(O)=O.[*]C3OC(COP(O)(=O)OC2C(O)C([*])OC2(COP(O)(=O)OC1C(O)C([*])OC1(CO)))C(O)C3(O)>>OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)).[*]C3OC(CO)C(OP(O)(=O)OCC2OC([*])C(O)C2(OP(O)(=O)OCC1OC([*])C(O)C1(OC(=O)C(N)CC(O)=O)))C3(O),0,133.037507704,-1.127,100.62,0.0,0.0,9.0,0.0,0.5,3.632432151939845,3.0,3.0,3.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(CC(O)=O)C(O)=O.[*]C3OC(COP(O)(=O)OC2C(O)C([*])OC2(COP(O)(=O)OC1C(O)C([*])OC1(CO)))C(O)C3(O)>>OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)).[*]C3OC(CO)C(OP(O)(=O)OCC2OC([*])C(O)C2(OP(O)(=O)OCC1OC([*])C(O)C1(OC(=O)C(N)CC(O)=O)))C3(O),0,133.037507704,-1.127,100.62,0.0,0.0,9.0,0.0,0.5,3.632432151939845,3.0,3.0,3.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NCC(O)=O.[*]C3OC(COP(O)(=O)OC2C(O)C([*])OC2(COP(O)(=O)OC1C(O)C([*])OC1(CO)))C(O)C3(O)>>OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)).[*]C3OC(CO)C(OP(O)(=O)OCC2OC([*])C(O)C2(OP(O)(=O)OCC1OC([*])C(O)C1(OC(=O)CN)))C3(O),0,75.0320284,-0.9703,63.32,0.0,0.0,5.0,0.0,0.5,2.847378923087672,1.0,2.0,2.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).OC(=O)C1CCCN1.[*]C3OC(COP(O)(=O)OC2C(O)C([*])OC2(COP(O)(=O)OC1C(O)C([*])OC1(CO)))C(O)C3(O)>>OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)).[*]C4OC(CO)C(OP(O)(=O)OCC3OC([*])C(O)C3(OP(O)(=O)OCC2OC([*])C(O)C2(OC(=O)C1CCCN1)))C4(O),0,115.063328528,-0.177,49.33,1.0,1.0,8.0,1.0,0.8,2.34993673877678,1.0,2.0,2.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(CS)C(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23))C5(O)>>OP(O)(=O)OP(O)(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(OC(=O)C(N)CS)C1(O))n3cnc2c(N)ncnc23))C5(O).Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)),0,121.019749464,-0.6719000000000002,63.32,0.0,0.0,7.0,0.0,0.6666666666666666,3.3434170589539605,2.0,3.0,3.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(CS)C(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23))C5(O)>>OP(O)(=O)OP(O)(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(OC(=O)C(N)CS)C1(O))n3cnc2c(N)ncnc23))C5(O).Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)),0,121.019749464,-0.6719000000000002,63.32,0.0,0.0,7.0,0.0,0.6666666666666666,3.3434170589539605,2.0,3.0,3.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(CCC(O)=O)C(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23))C5(O)>>OP(O)(=O)OP(O)(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(OC(=O)C(N)CCC(O)=O)C1(O))n3cnc2c(N)ncnc23))C5(O).Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)),0,147.053157768,-0.7369000000000001,100.62,0.0,0.0,10.0,0.0,0.6,3.4907296603908136,4.0,3.0,3.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(CCC(O)=O)C(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23))C5(O)>>OP(O)(=O)OP(O)(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(OC(=O)C(N)CCC(O)=O)C1(O))n3cnc2c(N)ncnc23))C5(O).Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)),0,147.053157768,-0.7369000000000001,100.62,0.0,0.0,10.0,0.0,0.6,3.4907296603908136,4.0,3.0,3.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(=N)NCCCC(N)C(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23))C5(O)>>OP(O)(=O)OP(O)(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(OC(=O)C(N)CCCNC(N)=N)C1(O))n3cnc2c(N)ncnc23))C5(O).Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)),0,174.111675688,-1.338429999999999,125.22,0.0,0.0,12.0,0.0,0.6666666666666666,3.3118352065890764,5.0,5.0,3.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC(Cc1ccccc1)C(O)=O.[*]C3OC(COP(O)(=O)OC2C(O)C([*])OC2(COP(O)(=O)OC1C(O)C([*])OC1(CO)))C(O)C3(O)>>OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)).[*]C4OC(CO)C(OP(O)(=O)OCC3OC([*])C(O)C3(OP(O)(=O)OCC2OC([*])C(O)C2(OC(=O)C(N)Cc1ccccc1)))C4(O),0,165.078978592,0.641,63.32,1.0,0.0,12.0,0.0,0.2222222222222222,2.58460408239752,3.0,2.0,2.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23))C5(O).CC(C)CC(N)C(O)=O>>OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)).[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(OC(=O)C(N)CC(C)C)C1(O))n3cnc2c(N)ncnc23))C5(O),0,657.1084531079998,-3.705399999999993,309.98,5.0,3.0,43.0,3.0,0.75,1.1826891373351245,12.0,8.0,19.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23))C5(O).CCC(C)C(N)C(O)=O>>OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)).[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(OC(=O)C(N)C(C)CC)C1(O))n3cnc2c(N)ncnc23))C5(O),0,657.1084531079998,-3.705399999999993,309.98,5.0,3.0,43.0,3.0,0.75,1.1826891373351245,12.0,8.0,19.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NCCCCC(N)C(O)=O.[*]C3OC(COP(O)(=O)OC2C(O)C([*])OC2(COP(O)(=O)OC1C(O)C([*])OC1(CO)))C(O)C3(O)>>OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)).[*]OC(=O)C(N)CCCCN,0,146.105527688,-0.4726999999999995,89.34,0.0,0.0,10.0,0.0,0.8333333333333334,3.2148768968244483,5.0,3.0,3.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).CC(C)C(N)C(O)=O.[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(O)C1(O))n3cnc2c(N)ncnc23))C5(O)>>OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O)).[*]C5OC(CO)C(OP(O)(=O)OCC4OC([*])C(O)C4(OP(O)(=O)OCC1OC(C(OC(=O)C(N)C(C)C)C1(O))n3cnc2c(N)ncnc23))C5(O),0,117.078978592,0.0543,63.32,0.0,0.0,8.0,0.0,0.8,3.637682547839839,2.0,2.0,2.0,177.94322572800002,-0.8116000000000001,124.29000000000002,0.0,0.0,9.0,0.0,0.0,4.074479309921039,2.0,4.0,3.0
[H]O[H].OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))>>OP(O)(O)=O.OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)),0,97.976895206,-0.9286,77.75999999999999,0.0,0.0,5.0,0.0,0.0,3.472066495600119,0.0,3.0,1.0,97.976895206,-0.9286,77.75999999999999,0.0,0.0,5.0,0.0,0.0,3.472066495600119,0.0,3.0,1.0
c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.OC(=O)C(O)C(O)C(O)=O>>NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).OC(=O)C(O)C(=O)C(O)=O.[H],1,150.016437912,-2.1226000000000007,115.06,0.0,0.0,10.0,0.0,0.5,4.069511908932012,3.0,4.0,4.0,665.1247718679998,-2.6863999999999977,317.62,5.0,3.0,44.0,3.0,0.5238095238095238,1.1471947891546252,11.0,8.0,18.0
CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23.C[N+](C)(C)CC(O)CC(O)=O>>CC(=O)OC(CC(O)=O)C[N+](C)(C)C.CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS,0,162.11246979209,-0.4718000000000007,57.53,0.0,0.0,11.0,0.0,0.8571428571428571,3.694259125238623,4.0,2.0,2.0,204.12303447609,0.0990000000000004,63.6,0.0,0.0,14.0,0.0,0.7777777777777778,4.244430536983525,5.0,1.0,3.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).O=C1C=CN(C(=O)N1)C2CC(O)C(COP(O)(=O)OP(O)(O)=O)O2>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).O=C1C=CN(C(=O)N1)C2CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2,0,388.0072825279999,-1.5887000000000002,197.61,2.0,1.0,24.0,1.0,0.5555555555555556,2.0127908936131043,6.0,5.0,9.0,427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC=1C=CN(C(=O)N=1)C2CC(O)C(COP(O)(=O)OP(O)(O)=O)O2>>Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).NC=1C=CN(C(=O)N=1)C2CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2,0,387.0232669399999,-1.2998000000000005,203.66,2.0,1.0,24.0,1.0,0.5555555555555556,2.000460173835875,6.0,5.0,10.0,427.0294149399999,-1.7460000000000009,232.6,3.0,1.0,27.0,1.0,0.5,1.748651806804535,6.0,6.0,12.0
