,SabioReactionID,Reaction
10063,10063,[H]O[H].[H]C23(C(NC(=O)Cc1cccs1)C(=O)N3(C(C(O)=O)=C(COC(C)=O)CS2))>>OC(=O)Cc1cccs1.[H]C12(C(N)C(=O)N2(C(C(O)=O)=C(COC(C)=O)CS1))
10066,10066,NC(=O)OP(O)(O)=O.O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)>>NC(O)=O.O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)
10075,10075,NC(=O)OP(O)(O)=O.NC=1NC(=O)c2ncn(c2(N=1))C3OC(COP(O)(=O)OP(O)(O)=O)C(O)C3(O)>>NC(O)=O.NC=1NC(=O)c2ncn(c2(N=1))C3OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C3(O)
10076,10076,O=O.[H]O[H].NC(CO)C(O)=O>>OO.[H]N([H])[H].OCC(=O)C(O)=O
10078,10078,O=C1C=CN(C(=O)N1)C3OC(COP(O)(=O)OP(O)(=O)OC2OC(C(O)=O)C(O)C(O)C2(O))C(O)C3(O).CC1=CC(=O)Oc2cc(O)ccc12>>O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O).CC1=CC(=O)Oc2cc(ccc12)OC3OC(C(O)=O)C(O)C(O)C3(O)
10084,10084,OC1C(O)C(OC1(COP(O)(O)=O))OP(O)(=O)OP(O)(O)=O.[H]O[H].[H]N([H])[H]>>NC1OC(COP(O)(O)=O)C(O)C1(O).OP(O)(=O)OP(O)(O)=O
10087,10087,[H]O[H].[H]O[H].C[N+](C)(C)CCOP(=O)(O)OC1=CC=C(C=C1)[N+](=O)[O-].C[N+](C)(C)CCOP(=O)(O)OC1=CC=C(C=C1)[N+](=O)[O-]>>C[N+](C)(C)CCO.C[N+](C)(C)CCO.O=[N+]([O-])c1ccc(cc1)OP(O)(O)=O.O=[N+]([O-])c1ccc(cc1)OP(O)(O)=O
10097,10097,OC(=O)C1CC(=O)NC(=O)N1.OC(=O)C1CC(=O)NC(=O)N1.CC1=CC(=O)c2ccccc2(C1(=O)).CC1=CC(=O)c2ccccc2(C1(=O))>>OC(=O)C1=CC(=O)NC(=O)N1.OC(=O)C1=CC(=O)NC(=O)N1.Cc1cc(O)c2ccccc2(c1(O)).Cc1cc(O)c2ccccc2(c1(O))
10109,10109,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].[H].[H].C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C.C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C.C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C>>NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H]C23(CCC1([H])(C4([H])(CCC(O)C4(C)(CCC1([H])C3(C)(CCC(O)C2))))).[H]C23(CCC1([H])(C4([H])(CCC(O)C4(C)(CCC1([H])C3(C)(CCC(O)C2))))).[H]C23(CCC1([H])(C4([H])(CCC(O)C4(C)(CCC1([H])C3(C)(CCC(O)C2)))))
10112,10112,[H].[H].[H].[H].[H].CC1=CC(=O)c2ccccc2(C1(=O)).CC1=CC(=O)c2ccccc2(C1(=O)).CC1=CC(=O)c2ccccc2(C1(=O)).CC1=CC(=O)c2ccccc2(C1(=O)).CC1=CC(=O)c2ccccc2(C1(=O)).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>Cc1cc(O)c2ccccc2(c1(O)).Cc1cc(O)c2ccccc2(c1(O)).Cc1cc(O)c2ccccc2(c1(O)).Cc1cc(O)c2ccccc2(c1(O)).Cc1cc(O)c2ccccc2(c1(O)).c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
10123,10123,COC=1C(=O)C(C)=C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(=O)C=1(OC).COC=1C(=O)C(C)=C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(=O)C=1(OC).[H].[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).COc1c(O)c(C)c(CC=C(C)CCC=C(C)C)c(O)c1(OC).COc1c(O)c(C)c(CC=C(C)CCC=C(C)C)c(O)c1(OC)
10130,10130,[H]C4(O)(CCC2(C)(C([H])(CCC1([H])(C3([H])(CCC(C(C)=O)C3(C)(CCC12([H])))))C4)).c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N>>CC(=O)C2CCC3C4CCC1CC(=O)CCC1(C)C4(CCC23(C)).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H]
10139,10139,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].CCCCCC(O)C=CC1C(=O)CC(O)C1(CCCCCCC(O)=O)>>NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).CCCCCC(O)C=CC1C(O)CC(O)C1(CCCCCCC(O)=O)
10146,10146,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].CCC=CCC(O)C=CC1C(=O)CC(O)C1(CC=CCCCC(O)=O)>>NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).CCC=CCC(O)C=CC1C(O)CC(O)C1(CC=CCCCC(O)=O)
10147,10147,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].[H].CCCCCC(O)C=CC1C(=O)CC(O)C1(CC=CCCCC(O)=O).CCCCCC(O)C=CC1C(=O)CC(O)C1(CC=CCCCC(O)=O)>>CCCCC[C@@H](/C=C/[C@H]1[C@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O.CCCCC[C@@H](/C=C/[C@H]1[C@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
10151,10151,NO.CC(N)=O>>[H]N([H])[H].CC(=O)NO
10158,10158,[H]O[H].[*]OC1C(O)C(OS(O)(=O)=O)C(OC1(C(O)=O))OC4C(CO)OC(OC3C(O)C(OS(O)(=O)=O)C(OC2C(O)C(NC(C)=O)C([*])OC2(COS(O)(=O)=O))OC3(C(O)=O))C(NS(O)(=O)=O)C4(OS(O)(=O)=O)>>[*]OC1C(O)C(OS(O)(=O)=O)C(OC1(C(O)=O))OC4C(CO)OC(OC3C(O)C(OS(O)(=O)=O)C(OC2C(O)C(NC(C)=O)C([*])OC2(COS(O)(=O)=O))OC3(C(O)=O))C(NS(O)(=O)=O)C4(OS(O)(=O)=O).[*]OC1C(O)C(OS(O)(=O)=O)C(OC1(C(O)=O))OC4C(CO)OC(OC3C(O)C(OS(O)(=O)=O)C(OC2C(O)C(NC(C)=O)C([*])OC2(COS(O)(=O)=O))OC3(C(O)=O))C(NS(O)(=O)=O)C4(OS(O)(=O)=O)
10159,10159,NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H].OC1COC(O)C(O)C1(O)>>OCC(O)C(O)C(O)CO.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
10165,10165,NC(=O)CCCCC(CCS)S.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>[H].NC(=O)CCCCC1CCSS1.NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
10180,10180,NC=2NC(=O)c3ncn(C1CC(O)C(COP(O)(=O)OP(O)(O)=O)O1)c3(N=2).C=C(OP(O)(O)=O)C(O)=O.O=C=O>>OC(=O)CC(=O)C(O)=O.NC=2NC(=O)c3ncn(C1CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1)c3(N=2)
10181,10181,CC(=O)C(O)=O.CC(=O)C(O)=O.CC(=O)C(O)=O.[H].[H].[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>CC(O)C(O)=O.CC(O)C(O)=O.CC(O)C(O)=O.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
10202,10202,[H]O[H].NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).C[N+](C)(C)CCCC=O>>[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).C[N+](C)(C)CCCC(O)=O
10204,10204,OCC3OC(OC1C(O)C(O)C(OC1(CO))OC2C(O)C(O)C(O)OC2(CO))C(O)C(O)C3(O).[H]O[H]>>OCC1OC(O)C(O)C(O)C1(O).OCC2OC(OC1C(O)C(O)C(O)OC1(CO))C(O)C(O)C2(O)
10214,10214,OCC2OC(OC1C(O)C(O)C(O)OC1(CO))C(O)C(O)C2(O).[H]O[H]>>OCC1OC(O)C(O)C(O)C1(O)
10223,10223,CN.CCC(CC(=O)[O-])C(=O)[O-]>>CNC(=O)CCC(=O)C(O)=O.CO
10224,10224,[H]O[H].O=C(C(=O)O)CC(C(=O)O)CC>>OC(=O)CCC(=O)C(O)=O.CCO
10229,10229,[H].N=O.NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>[N-]=[N+]=O.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H]O[H]
10231,10231,[H]O[H].[H]O[H].OCC4OC(OC1C(O)C(O)C(OC1(CO))OC2C(O)C(O)C(OC2(CO))OC3C(O)C(O)C(O)OC3(CO))C(O)C(O)C4(O).OCC4OC(OC1C(O)C(O)C(OC1(CO))OC2C(O)C(O)C(OC2(CO))OC3C(O)C(O)C(O)OC3(CO))C(O)C(O)C4(O)>>OCC3OC(OC1C(O)C(O)C(OC1(CO))OC2C(O)C(O)C(O)OC2(CO))C(O)C(O)C3(O).OCC3OC(OC1C(O)C(O)C(OC1(CO))OC2C(O)C(O)C(O)OC2(CO))C(O)C(O)C3(O).OCC1OC(O)C(O)C(O)C1(O).OCC1OC(O)C(O)C(O)C1(O)
10240,10240,[H]O[H].COC(=O)CCCC(=O)OC>>OC(=O)CCCC(O)=O.CO
10251,10251,CN.O=C(C(=O)O)CC(C(=O)O)CC>>CNC(=O)CCC(=O)C(O)=O.CCO
10252,10252,CN.NC(=O)CCC(=O)C(O)=O>>CNC(=O)CCC(=O)C(O)=O.[H]N([H])[H]
10258,10258,[H]O[H].CCC(CC(=O)[O-])C(=O)[O-]>>OC(=O)CCC(=O)C(O)=O.CO
10262,10262,[H]O[H].OC(=O)C(=O)CP(O)(O)=O>>OP(O)(O)=O.CC(=O)C(O)=O
10272,10272,NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H]O[H].[H]C(=O)C(O)COP(O)(O)=O>>OC(=O)C(O)COP(O)(O)=O.NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O).[H]
10274,10274,[*]C(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(OP(O)(O)=O)C1(O))OC([*])=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))>>[*]C(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(OP(O)(O)=O)C(OP(O)(O)=O)C1(O))OC([*])=O.[*]C(=O)OCC(COP(O)(=O)OC1C(O)C(OP(O)(O)=O)C(O)C(OP(O)(O)=O)C1(O))OC([*])=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
10277,10277,O=O.OCC=Cc1ccccc1>>OO.[H]C(=O)C=Cc1ccccc1
10280,10280,O=O.OCc1ccccc1>>OO.O=Cc1ccccc1
10294,10294,[H]O[H].[H]O[H].[H]O[H].[H]C2(CCC3([H])(C4([H])(CC=C1CC(CCC1(C)C4([H])(CCC23(C)))OC(=O)CCCCCCCC=CCCCCCCCC)))(C(C)CCCC(C)C).[H]C2(CCC3([H])(C4([H])(CC=C1CC(CCC1(C)C4([H])(CCC23(C)))OC(=O)CCCCCCCC=CCCCCCCCC)))(C(C)CCCC(C)C).[H]C2(CCC3([H])(C4([H])(CC=C1CC(CCC1(C)C4([H])(CCC23(C)))OC(=O)CCCCCCCC=CCCCCCCCC)))(C(C)CCCC(C)C)>>CCCCCCCCC=CCCCCCCCC(O)=O.CCCCCCCCC=CCCCCCCCC(O)=O.CCCCCCCCC=CCCCCCCCC(O)=O.[H]C2(CCC3([H])(C4([H])(CC=C1CC(O)CCC1(C)C4([H])(CCC23(C)))))(C(C)CCCC(C)C).[H]C2(CCC3([H])(C4([H])(CC=C1CC(O)CCC1(C)C4([H])(CCC23(C)))))(C(C)CCCC(C)C).[H]C2(CCC3([H])(C4([H])(CC=C1CC(O)CCC1(C)C4([H])(CCC23(C)))))(C(C)CCCC(C)C)
10297,10297,[*]C(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(OP(O)(O)=O)C1(O))OC([*])=O.[*]C(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(OP(O)(O)=O)C1(O))OC([*])=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O))>>[*]C(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(OP(O)(O)=O)C(OP(O)(O)=O)C1(O))OC([*])=O.[*]C(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(OP(O)(O)=O)C(OP(O)(O)=O)C1(O))OC([*])=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)).Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O))
10305,10305,CCCCCCCCCCCCC/C=C/C([C@H](CO)NC(=O)CCCCCCC/C=C/CCCCCCCC)O.[H]O[H]>>CCCCCCCCCCCCCC=CC(O)C(N)CO.CCCCCCCCC=CCCCCCCCC(O)=O
10316,10316,[H]C2(CCC3([H])(C4=CC=C1CC(O)CCC1(C)C4([H])(CCC23(C))))(C(C)C=CC(C)C(C)C).OCC3OC(OP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(O))N2C=CC(=O)NC2(=O))C(O)C(O)C3(O)>>C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C.O=C1C=CN(C(=O)N1)C2OC(COP(O)(=O)OP(O)(O)=O)C(O)C2(O)
10317,10317,Nc3ncnc1c3(ncn1C2OC(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(O)C2(O)).CCCCCCCCC=CCCCCCCCC(O)=O.CC(C)(COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS>>CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1(OP(O)(O)=O))n3cnc2c(N)ncnc23.OP(O)(=O)OP(O)(O)=O.Nc3ncnc1c3(ncn1C2OC(COP(O)(O)=O)C(O)C2(O))
10318,10318,O=CC(O)=O.O=CC(O)=O.NC(=O)CCC(N)C(O)=O.NC(=O)CCC(N)C(O)=O>>NC(=O)CCC(=O)C(O)=O.NC(=O)CCC(=O)C(O)=O.NCC(O)=O.NCC(O)=O
10319,10319,NC(CCC(=O)NC(CS)C(=O)NCC(O)=O)C(O)=O.c1ccc(cc1)CN=C=S>>C1=CC=C(C=C1)CNC(=S)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N
10322,10322,O=O.O=O.O=O.[H]O[H].[H]O[H].[H]O[H].O=Cc1ccccc1.O=Cc1ccccc1.O=Cc1ccccc1>>OO.OO.OO.OC(=O)c1ccccc1.OC(=O)c1ccccc1.OC(=O)c1ccccc1
10330,10330,[H]O[H].[H]O[H].NC(COP(O)(O)=O)C(O)=O.NC(COP(O)(O)=O)C(O)=O>>NC(CO)C(O)=O.NC(CO)C(O)=O.OP(O)(O)=O.OP(O)(O)=O
10331,10331,CC(C)(N)C(O)=O>>CC(C)(N)C(O)=O
10346,10346,CCCCCCCCC=CCCCCCCCC(O)=O.CCCCCCCCC=CCCCCCCCC(O)=O>>CCCCCCCCC=CCCCCCCCC(O)=O.CCCCCCCCC=CCCCCCCCC(O)=O
10353,10353,CSCCC(=O)C(O)=O.NC(=O)CCC(N)C(O)=O>>NC(=O)CCC(=O)C(O)=O.CSCCC(N)C(O)=O
10358,10358,[H]O[H].OC(=O)C(O)C(O)C(O)C(O)C(O)=O>>OC(=O)C(O)C(O)C(O)C(O)C(O)=O.CC(=O)NC1C(O)CC(O)(OC1(C(O)C(O)CO))C(O)=O
10375,10375,CC(N)C(O)=O>>CC(N)C(O)=O
10380,10380,OC(=O)C(=O)CS.NC(=O)CCC(N)C(O)=O>>NC(=O)CCC(=O)C(O)=O.NC(CS)C(O)=O
10383,10383,OCC(=O)C(O)=O.NC(=O)CCC(N)C(O)=O>>NC(CO)C(O)=O.NC(=O)CCC(=O)C(O)=O
10385,10385,NC(CSCSCC(N)C(O)=O)C(O)=O.[H]O[H]>>[H]N([H])[H].CC(=O)C(O)=O.C([C@@H](C(=O)O)N)SCS
10386,10386,NC(=O)CCC(=O)C(O)=O.NC(=O)CCC(N)C(O)=O>>NC(=O)CCC(=O)C(O)=O.NC(=O)CCC(N)C(O)=O
10402,10402,CC(C=CC(O)=O)=CC(O)=O>>CC1=CC=CCOC1=O
10404,10404,Cc2cc3N=C1C(=O)NC(=O)N=C1N(CC(O)C(O)C(O)COP(O)(O)=O)c3(cc2(C)).OC(=O)C1CC(=O)NC(=O)N1>>Cc2cc3NC=1C(=O)NC(=O)NC=1N(CC(O)C(O)C(O)COP(O)(O)=O)c3(cc2(C)).OC(=O)C1=CC(=O)NC(=O)N1
10410,10410,OCC(O)C(O)C(O)C(O)C(O)=O.NC(=O)c1ccc[n+](c1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>OCC(O)C(O)C(=O)C(O)C(O)=O.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(OP(O)(O)=O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)
10411,10411,CC(=O)CC(O)=O.[H].NC(=O)C=1CC=CN(C=1)C5OC(COP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2(O))n4cnc3c(N)ncnc34)C(O)C5(O)>>CC(O)CC(O)=O.c1cc(c[n+](c1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n4cnc5c4ncnc5N)O)O)O)O)C(=O)N
10419,10419,NC(=O)NCCCC(N)C(O)=O>>NC(=O)NCCCC(N)C(O)=O
10421,10421,[H]O[H].[H]O[H].[H]O[H].[H]O[H].CC1=CN(C(=O)NC1(=O))C2CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2.CC1=CN(C(=O)NC1(=O))C2CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2.CC1=CN(C(=O)NC1(=O))C2CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2.CC1=CN(C(=O)NC1(=O))C2CC(O)C(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2>>OP(O)(=O)OP(O)(O)=O.OP(O)(=O)OP(O)(O)=O.OP(O)(=O)OP(O)(O)=O.OP(O)(=O)OP(O)(O)=O.CC1=CN(C(=O)NC1(=O))C2CC(O)C(COP(O)(O)=O)O2.CC1=CN(C(=O)NC1(=O))C2CC(O)C(COP(O)(O)=O)O2.CC1=CN(C(=O)NC1(=O))C2CC(O)C(COP(O)(O)=O)O2.CC1=CN(C(=O)NC1(=O))C2CC(O)C(COP(O)(O)=O)O2
