MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
1007.260948052,-1.5953999999999993,417.93,8.0,4.0,67.0,4.0,1.3333333333333333,2.772411649862753,20.0,10.0,27.0
358.006613832,-4.0314,234.67,1.0,1.0,21.0,1.0,1.0,6.085267677598554,4.0,9.0,8.0
743.9982462959997,-5.6037,421.28,3.0,2.0,45.0,2.0,1.5555555555555556,4.768207188231865,12.0,13.0,18.0
743.0142307079998,-5.3148,427.33,3.0,2.0,45.0,2.0,1.5555555555555556,4.755840354075387,12.0,13.0,19.0
768.0094796759997,-5.020700000000001,429.98999999999995,4.0,2.0,47.0,2.0,1.5,4.432267145535224,12.0,13.0,19.0
358.006613832,-4.0314,234.67,1.0,1.0,21.0,1.0,1.0,6.085267677598554,4.0,9.0,8.0
437.9729443539999,-3.9143999999999997,281.2,1.0,1.0,25.0,1.0,1.0,6.146095128674801,6.0,10.0,9.0
406.09886080600006,-3.8748999999999993,263.32,1.0,1.0,26.0,1.0,1.6,6.063056039678127,7.0,9.0,10.0
277.05626772200003,-2.9408,191.91,1.0,1.0,17.0,1.0,1.0,2.613201181998436,4.0,7.0,8.0
157.998024574,-1.1825,115.33000000000001,0.0,0.0,9.0,0.0,0.5,3.740352517744469,1.0,2.0,3.0
797.0360287719998,-5.5283000000000015,464.11,3.0,1.0,49.0,1.0,1.3571428571428572,6.274346430698629,16.0,14.0,21.0
370.006613832,-3.3265000000000007,228.35000000000002,0.0,0.0,22.0,0.0,1.4166666666666665,7.347423334333467,9.0,7.0,9.0
360.126776208,-6.442800000000001,220.76,2.0,2.0,24.0,2.0,2.0,5.268817974123194,2.0,10.0,12.0
1171.1121437180896,-4.644899999999998,597.3899999999999,8.0,3.0,75.0,3.0,0.976190476190476,2.957972815791668,19.0,15.0,30.0
1194.144623902,-3.411299999999998,579.16,6.0,2.0,75.0,2.0,1.1666666666666665,3.355085980863179,24.0,16.0,30.0
789.1173171379999,-2.3641999999999967,381.2199999999999,5.0,3.0,51.0,3.0,1.0238095238095237,3.3872537576364,13.0,9.0,20.0
789.1173171379999,-2.3641999999999967,381.2199999999999,5.0,3.0,51.0,3.0,1.0238095238095237,3.3872537576364,13.0,9.0,20.0
789.1173171379999,-2.3641999999999967,381.2199999999999,5.0,3.0,51.0,3.0,1.0238095238095237,3.3872537576364,13.0,9.0,20.0
789.1173171379999,-2.3641999999999967,381.2199999999999,5.0,3.0,51.0,3.0,1.0238095238095237,3.3872537576364,13.0,9.0,20.0
900.1953110159998,-2.4770999999999983,452.43999999999994,6.0,2.0,61.0,2.0,0.8,3.3959011370845342,16.0,13.0,21.0
571.9845716579999,-2.9239,321.9,2.0,1.0,35.0,1.0,0.5555555555555556,6.161480735335166,9.0,9.0,13.0
611.0067040699998,-2.7587000000000006,356.63,3.0,1.0,38.0,1.0,0.5,5.857353271797534,9.0,10.0,15.0
571.0005560699999,-2.6350000000000002,327.95,2.0,1.0,35.0,1.0,0.5555555555555556,6.149113901178689,9.0,9.0,14.0
595.9958050379998,-2.340900000000001,330.60999999999996,3.0,1.0,37.0,1.0,0.5,5.825540692638526,9.0,9.0,14.0
579.0168748299999,-1.0228000000000002,316.43,3.0,1.0,36.0,1.0,0.5,5.754055296779403,9.0,8.0,14.0
1016.2009298099999,0.3350000000000035,406.7199999999999,3.0,1.0,63.0,1.0,1.4666666666666668,5.256416857052186,26.0,12.0,22.0
