MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R
358.00661383199986,-3.8104999999999998,234.94,1.0,1.0,21.0,1.0,1.0,2.6740286330746827,6.0,7.0,8.0
743.9982462959999,-5.603700000000001,421.28,3.0,2.0,45.0,2.0,1.5555555555555556,4.669244734871136,12.0,13.0,19.0
743.0142307079998,-5.3148,427.33000000000004,3.0,2.0,45.0,2.0,1.5555555555555556,4.660286671927388,12.0,13.0,20.0
768.0094796759998,-5.020700000000001,429.9899999999999,4.0,2.0,47.0,2.0,1.5,4.309498598545877,12.0,13.0,20.0
358.0066138319999,-3.8105000000000007,234.94,1.0,1.0,21.0,1.0,1.0,2.854366315233849,6.0,7.0,8.0
437.97294435400005,-3.9143999999999997,281.20000000000005,1.0,1.0,25.0,1.0,1.0,6.687680491919474,6.0,10.0,10.0
406.09886080600006,-4.439,263.32,1.0,1.0,26.0,1.0,1.6,6.10393084238925,8.0,9.0,10.0
277.05626772200003,-3.9626999999999994,194.2,1.0,1.0,17.0,1.0,1.0,2.572326379287314,3.0,6.0,7.0
358.006613832,-4.0314,234.67,1.0,1.0,21.0,1.0,1.0,6.085267677598555,4.0,9.0,8.0
797.0360287719998,-5.5283,464.11,3.0,1.0,49.0,1.0,1.3571428571428572,6.09083724314797,16.0,14.0,22.0
370.0066138319999,-3.782300000000001,231.51,0.0,0.0,22.0,0.0,0.8571428571428571,4.525694623894094,10.0,8.0,9.0
360.1267762079999,-6.221899999999993,221.03,2.0,2.0,24.0,2.0,1.0,2.114861902481824,4.0,8.0,11.0
1171.1121437180898,-4.644899999999998,597.3899999999999,8.0,3.0,75.0,3.0,0.976190476190476,2.847037490924253,19.0,15.0,31.0
1194.1446239019997,-3.4112999999999998,579.16,6.0,2.0,75.0,2.0,1.1666666666666665,3.1939426862248825,24.0,16.0,31.0
790.1245935900897,-2.900299999999997,385.0199999999999,5.0,2.0,51.0,2.0,1.476190476190476,2.8423141708425854,13.0,10.0,19.0
790.1245935900897,-2.900299999999997,385.0199999999999,5.0,2.0,51.0,2.0,1.476190476190476,2.8423141708425854,13.0,10.0,19.0
790.1245935900897,-2.900299999999997,385.0199999999999,5.0,2.0,51.0,2.0,1.476190476190476,2.8423141708425854,13.0,10.0,19.0
790.1245935900897,-2.900299999999997,385.0199999999999,5.0,2.0,51.0,2.0,1.476190476190476,2.8423141708425854,13.0,10.0,19.0
553.0012247659997,-1.9282000000000008,316.43,3.0,1.0,34.0,1.0,0.5,3.876905497568621,8.0,8.0,15.0
571.9845716579998,-2.840900000000001,318.73999999999995,2.0,1.0,35.0,1.0,0.8888888888888888,5.623747007915904,9.0,8.0,14.0
611.0067040699997,-2.675700000000001,353.47,3.0,1.0,38.0,1.0,0.8333333333333333,5.290664851845949,9.0,9.0,16.0
571.0005560699998,-2.5520000000000005,324.79,2.0,1.0,35.0,1.0,0.8888888888888888,5.6147889449721555,9.0,8.0,15.0
595.9958050379998,-2.2579000000000007,327.44999999999993,3.0,1.0,37.0,1.0,0.8333333333333333,5.264000871590644,9.0,8.0,15.0
579.0168748299997,-0.9398,313.27,3.0,1.0,36.0,1.0,0.8333333333333333,5.204215272379429,9.0,7.0,15.0
1016.2009298099998,0.33500000000000174,406.72,3.0,1.0,63.0,1.0,1.5271739130434783,4.685075785461132,26.0,12.0,22.0
1016.2009298099998,0.33500000000000174,406.72,3.0,1.0,63.0,1.0,1.5271739130434783,4.685075785461132,26.0,12.0,22.0
871.19155442009,-1.3654999999999982,361.3499999999999,5.0,2.0,56.0,2.0,1.351190476190476,4.289264551028977,18.0,11.0,20.0
871.19155442009,-1.3654999999999982,361.3499999999999,5.0,2.0,56.0,2.0,1.351190476190476,4.289264551028977,18.0,11.0,20.0
754.1480923080901,-3.5640999999999976,375.78999999999996,5.0,2.0,50.0,2.0,1.1428571428571428,4.415214251957018,12.0,10.0,19.0
754.1480923080901,-3.5640999999999976,375.78999999999996,5.0,2.0,50.0,2.0,1.1428571428571428,4.415214251957018,12.0,10.0,19.0
754.1480923080901,-3.5640999999999976,375.78999999999996,5.0,2.0,50.0,2.0,1.1428571428571428,4.415214251957018,12.0,10.0,19.0
230.019153942,-2.6211,144.52,0.0,0.0,14.0,0.0,0.8,4.0227829090142215,6.0,5.0,6.0
460.038307884,-5.2438,289.03999999999996,0.0,0.0,28.0,0.0,1.5238095238095237,7.9521765640445645,12.0,10.0,12.0
214.024239322,-1.4361000000000004,116.45,1.0,1.0,13.0,1.0,1.0,2.337843319857404,3.0,4.0,5.0
