MW_R,logP_R,TPSA_R,Rings Count_R,Aromatic Rings_R,Heavy atoms cout_R,Alifatic Rings_R,CSP3_R,BalabanJ_R,RotatableBonds_R,H-bond donor_R,H-bond acceptor_R,MW_P,logP_P,TPSA_P,Rings Count_P,Aromatic Rings_P,Heavy atoms cout_P,Alifatic Rings_P,CSP3_P,BalabanJ_P,RotatableBonds_P,H-bond donor_P,H-bond acceptor_P
88.016043988,-0.3399999999999999,54.37,0.0,0.0,6.0,0.0,0.3333333333333333,3.5677034550432034,1.0,1.0,2.0,403.0181815599999,-2.329,223.89,2.0,1.0,25.0,1.0,0.5555555555555556,2.081811721000704,6.0,6.0,11.0
88.016043988,-0.3399999999999999,54.37,0.0,0.0,6.0,0.0,0.3333333333333333,3.5677034550432034,1.0,1.0,2.0,428.01343052799984,-2.034900000000001,226.54999999999995,3.0,1.0,27.0,1.0,0.5,1.758238512460542,6.0,6.0,11.0
491.0008308419997,-0.5998,258.9,3.0,1.0,30.0,1.0,0.5,1.6365118173362256,8.0,6.0,13.0,167.98237451000003,-0.3060000000000001,104.06,0.0,0.0,10.0,0.0,0.0,4.067302180177984,3.0,3.0,3.0
809.1257736459999,-1.3153999999999977,363.63,3.0,1.0,51.0,1.0,0.6521739130434783,1.5534393251556835,19.0,9.0,19.0,767.115208962,-1.6652999999999971,346.55999999999995,3.0,1.0,48.0,1.0,0.6666666666666666,1.6064341740586443,18.0,10.0,18.0
809.1257736459999,-1.3153999999999977,363.63,3.0,1.0,51.0,1.0,0.6521739130434783,1.5534393251556835,19.0,9.0,19.0,767.115208962,-1.6652999999999971,346.55999999999995,3.0,1.0,48.0,1.0,0.6666666666666666,1.6064341740586443,18.0,10.0,18.0
664.1163982560901,-3.0158999999999976,318.25999999999993,5.0,2.0,44.0,2.0,0.4761904761904761,1.1576280907235286,11.0,8.0,17.0,665.1247718679998,-2.6863999999999977,317.62,5.0,3.0,44.0,3.0,0.5238095238095238,1.1471947891546252,11.0,8.0,18.0
664.1163982560901,-3.0158999999999976,318.25999999999993,5.0,2.0,44.0,2.0,0.4761904761904761,1.1576280907235286,11.0,8.0,17.0,665.1247718679998,-2.6863999999999977,317.62,5.0,3.0,44.0,3.0,0.5238095238095238,1.1471947891546252,11.0,8.0,18.0
664.1163982560901,-3.0158999999999976,318.25999999999993,5.0,2.0,44.0,2.0,0.4761904761904761,1.1576280907235286,11.0,8.0,17.0,665.1247718679998,-2.6863999999999977,317.62,5.0,3.0,44.0,3.0,0.5238095238095238,1.1471947891546252,11.0,8.0,18.0
664.1163982560901,-3.0158999999999976,318.25999999999993,5.0,2.0,44.0,2.0,0.4761904761904761,1.1576280907235286,11.0,8.0,17.0,665.1247718679998,-2.6863999999999977,317.62,5.0,3.0,44.0,3.0,0.5238095238095238,1.1471947891546252,11.0,8.0,18.0
664.1163982560901,-3.0158999999999976,318.25999999999993,5.0,2.0,44.0,2.0,0.4761904761904761,1.1576280907235286,11.0,8.0,17.0,665.1247718679998,-2.6863999999999977,317.62,5.0,3.0,44.0,3.0,0.5238095238095238,1.1471947891546252,11.0,8.0,18.0
230.019153942,-2.6211,144.52,0.0,0.0,14.0,0.0,0.8,4.0227829090142215,6.0,5.0,6.0,230.019153942,-2.6211,144.52,0.0,0.0,14.0,0.0,0.8,4.0227829090142215,6.0,5.0,6.0
290.04028331,-3.8992999999999993,184.98,0.0,0.0,18.0,0.0,0.8571428571428571,4.401427842947245,8.0,7.0,8.0,230.019153942,-2.4653000000000005,136.68,1.0,1.0,14.0,1.0,1.0,2.4387072219898034,3.0,5.0,6.0
214.024239322,-1.4361000000000004,116.45,1.0,1.0,13.0,1.0,1.0,2.337843319857404,3.0,4.0,5.0,44.026214748,0.2052,17.07,0.0,0.0,3.0,0.0,0.5,2.1874960973678963,0.0,0.0,1.0
230.019153942,-2.4653000000000005,136.68,1.0,1.0,14.0,1.0,1.0,2.4387072219898034,3.0,5.0,6.0,230.019153942,-2.6211,144.52,0.0,0.0,14.0,0.0,0.8,4.0227829090142215,6.0,5.0,6.0
230.019153942,-2.4653000000000005,136.68,1.0,1.0,14.0,1.0,1.0,2.4387072219898034,3.0,5.0,6.0,230.019153942,-2.6211,144.52,0.0,0.0,14.0,0.0,0.8,4.0227829090142215,6.0,5.0,6.0
